時刻,休日
5,[普通]中  04  [普通]中  35  [UL■]名  41  [普通]中  58
6,[急行]中  24  [急行]中  51
7,[V]賢  02  [急行]五  17  [UL■]名  23  [V]宇  34  [普通]中  36  [急行]五  50
8,[特急]賢  02  [普通]青  03  [UL■]名  23  [V]鳥  26  [急行]五  27  [特急]宇  43  [普通]中  44  [普通]青  57
9,[V]賢  05  [急行]松  11  [UL■]名  24  [V]賢  27  [急行]青  32  [V]宇  45  [急行]中  51
10,[ISL■]賢  05  [急行]青  06  [普通]中  12  [UL■]名  24  [ISL■]賢  27  [快急]松  29  [急行]中  43
11,[特急]賢  05  [普通]青  10  [UL■]名  24  [急行]青  25  [急行]中  49
12,[ISL■]賢  05  [普通]青  10  [UL■]名  24  [急行]青  25  [急行]中  49
13,[V]賢  05  [普通]青  10  [UL■]名  24  [急行]青  25  [急行]中  49
14,[特急]賢  05  [普通]青  10  [UL■]名  24  [急行]青  25  [急行]五  49
15,[特急]賢  05  [普通]中  10  [UL■]名  24  [急行]青  25  [急行]五  50
16,[ISL■]賢  05  [普通]中  10  [UL■]名  24  [急行]中  25  [急行]青  41  [普通]中  55
17,[V]賢  05  [急行]中  12  [UL■]名  25  [急行]青  26  [急行]青  40  [普通]中  56
18,[ISL■]鳥  05  [普通]青  12  [UL■]名  25  [V]鳥  27  [快急]五  31  [V]松  39  [快急]青  51
19,[V]宇  06  [急行]青  11  [快急]宇  20  [UL■]名  26  [快急]青  32  [V]鳥  40  [快急]鳥  50
20,[快急]青  00  [特急]五  06  [普通]中  09  [UL■]名  26  [急行]中  29  [特急]五  41  [急行]青  51
21,[特急]松  06  [急行]中  09  [UL■]名  26  [普通]中  28  [急行]宇  39  [特急]松  50  [急行]青  55
22,[V]松  06  [普通]中  18  [UL■]名  25  [普通]青  31  [V]松  49  [急行]青  51
23,[普通]明  07  [急行]青  11  [急行]青  34  [普通]青  45  [急行]青  56
0,[急行]青  18